('P0', 'id');('P1_a ', 'Idade');('P1_b ', 'Genero');('P1_e ', 'experiencia_profissional_prejudicada');EXPERIÊNCIA PREJUDICADA SIM OU NAO;('P2_d ', 'Gestor?');('P2_f ', 'Cargo Atual');AGRUPAMENTO CARGOS;('P2_h ', 'Faixa salarial');MÉDIA FAIXA SALARIAL;('P2_g ', 'Nivel');NÍVEL COM NÚMEROS ORDINAIS;('P2_k ', 'Você está satisfeito na sua empresa atual?');('P2_n ', 'Você pretende mudar de emprego nos próximos 6 meses?');PRETENDE SAIR SIM OU NAO - TARGET;('P2_r ', 'Atualmente qual a sua forma de trabalho?');('P2_s ', 'Qual a forma de trabalho ideal para você?');ESTOU NO TRABALHO IDEAL?
lxerr7nduxx5fff22pelxerr7nja2jnf;32;Masculino;;0;0;Analista de BI/BI Analyst;Análise de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Sênior;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
lxj202ef85n7mtk7lxj2gas6ippm3glt;40;Masculino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia;1;;;Não informado;;0;;1;;;1;;;1
lxohfzi5t3as6337im8llxohfzklgv9x;26;Masculino;;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 12.001/mês a R$ 16.000/mês;14000;Pleno;1;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo 100% remoto;1
lybxvs5zzh5v2a7fsnlybxv8ah34aj3c;31;Masculino;;0;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 12.001/mês a R$ 16.000/mês;14000;Sênior;2;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
lyrfuuqbu11o02d6wslyrfuuvntuwhqt;36;Masculino;;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Pleno;1;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
lyz7svkz8kfopf8azlyz7sv35b0a9ely;31;Masculino;;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 12.001/mês a R$ 16.000/mês;14000;Sênior;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo 100% remoto;0
lz6xpq3ycu9necqlmeslz6xpus4gmj1e;26;Masculino;;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Sênior;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
lzn895lo4o2eca9x2blzn8psc3d91wjv;42;Masculino;;0;;;Não informado;;0;;0;;;0;;;1
lzock2373cetuoiv9j2dlzock23frhoz;29;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;;;Não informado;;0;;0;;;1;;;1
lzokqtmcqdsqro2rlzokqki5fmggi3as;29;Feminino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO);Produto;de R$ 12.001/mês a R$ 16.000/mês;14000;Sênior;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
