"('P0', 'id')","('P1_b ', 'Genero')","('P1_f_1', 'Quantidade de oportunidades de emprego/vagas recebidas')","('P1_i ', 'Estado onde mora')","('P2_f ', 'Cargo Atual')"
1bdfikm5d76v1bdfip6z9r5uy4s2i8gt,Masculino,,Distrito Federal (DF),Analista de Suporte/Analista Técnico
1bqcdxwosk2448kwf1bqcdxwoqdlcobj,Masculino,,Minas Gerais (MG),Analista de Dados/Data Analyst
1bqq4pgskpve20qx61bqq9nc6jsw8368,Masculino,,Santa Catarina (SC),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
1bsfbpqm5bciwmwgnmmr1bsf8uriv0kv,Masculino,,Rio Grande do Sul (RS),Analista de Dados/Data Analyst
1c0x0ogcdheqqto2a1c0xyvyswdbifti,Feminino,0.0,Paraná (PR),Analista de Dados/Data Analyst
1c56ua7ymuynqpr1c5zdap8g6wqbln93,Masculino,,Rio de Janeiro (RJ),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
1c78wjlqt11tx0di751c78wxk3k353co,Feminino,0.0,São Paulo (SP),
1cefkbevzlncl4o0a1z1cefkbr4yziq5,Masculino,,São Paulo (SP),Cientista de Dados/Data Scientist
1cil9ui4oqqxbqyf8m1cil9yrs2faa0d,Masculino,,Espírito Santo (ES),
1cjkgi9jv6i12fgn1f71cjkgi9uff76z,Feminino,0.0,Paraná (PR),Analista de Dados/Data Analyst
1cvdowb6yipk7a1cvdojvmnkjlhtfebp,Masculino,,Sergipe (SE),
1dj9jqkit77mgg2xpj1dj97iwg1vlgdb,Masculino,,São Paulo (SP),Outra Opção
1ejjjwcch2gjr521ejjl8caxiklpk60r,Masculino,,Piauí (PI),Analista de Dados/Data Analyst
1eo61abl73ghvnkmj00y1eo61hon5rta,Feminino,0.0,Rio Grande do Sul (RS),Analista de BI/BI Analyst
1exwsodnxyudw0ym67h2111exwsodn7z,Masculino,,Rio de Janeiro (RJ),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
1ez0klrrhcs30in3zu1ez0kl9deqwilh,Masculino,,Bahia (BA),
1fksk09n0tu0l6h8yl4h1fksk095xb1b,Masculino,,Rio de Janeiro (RJ),Outra Opção
1fsoff7bwgy2alhegs1fsoaktr45kqe4,Masculino,,Distrito Federal (DF),Cientista de Dados/Data Scientist
1ftlcrww87ofagr5xu1ftlmm51jbd1ek,Masculino,,Rio de Janeiro (RJ),Analista de Dados/Data Analyst
1fz1hczj0y3p6akj1fz1e4ouef72j0ip,Feminino,0.0,São Paulo (SP),
1gbxnr87nrmzir1gb1naobr2o4v0yeuc,Feminino,0.0,Paraná (PR),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
1go9wuzo7jjcd11go9l27u0g2d4sn0ba,Masculino,,Minas Gerais (MG),Cientista de Dados/Data Scientist
1gyuand5och71g7fyp7tzfyxt4k511vw,Masculino,,São Paulo (SP),
1hdrb5ttn4dfnqzn1hdrbru8ycclp31s,Masculino,,Rio Grande do Sul (RS),Analista de BI/BI Analyst
1hjllifyz30bty9ifyzxau1hjllifyaz,Masculino,,Rio de Janeiro (RJ),
