Idade,Genero,Cor/raca/etnia,PCD,Oportunidade de Progressão de Carreira,UF,Regiao onde mora,Nivel de Ensino,Area de Formação,Situação atual de Trabalho,Setor,Cargo,Nivel,Forma de Trabalho,Atuação
28,Masculino,Branca,Não,,SP,Sudeste,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Outra Opção,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Engenharia de Dados
37,Feminino,Branca,Não,0.0,RS,Sul,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Indústria,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Engenharia de Dados
33,Masculino,Branca,Não,,PR,Sul,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empreendedor ou Empregado (CNPJ),Indústria,Analista de BI/BI Analyst,Pleno,Modelo 100% presencial,Análise de Dados
25,Masculino,Branca,Não,,PI,Nordeste,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,"Desempregado, buscando recolocação",,,,,Buscando oportunidade na área de dados
30,Masculino,Branca,Não,,RS,Sul,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Finanças ou Bancos,,,Modelo 100% remoto,Gestor
43,Masculino,Parda,Não,,PR,Sul,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Área de Consultoria,Analista de Suporte/Analista Técnico,Júnior,Modelo 100% presencial,Outra atuação
29,Feminino,Branca,Não,0.0,SP,Sudeste,Pós-graduação,Outras Engenharias,Empregado (CLT),Outra Opção,,,Modelo híbrido com dias fixos de trabalho presencial,Gestor
30,Feminino,Parda,Não,1.0,SP,Sudeste,Pós-graduação,Outras Engenharias,Empregado (CLT),Indústria,Cientista de Dados/Data Scientist,Sênior,Modelo 100% remoto,Ciência de Dados
48,Masculino,Branca,Não,,SP,Sudeste,Pós-graduação,Outras Engenharias,Empregado (CLT),Setor Automotivo,Analista de Suporte/Analista Técnico,Sênior,Modelo 100% presencial,Análise de Dados
29,Masculino,Branca,Não,,DF,Centro-oeste,Pós-graduação,Ciências Sociais,Empregado (CLT),Tecnologia/Fábrica de Software,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,Modelo 100% remoto,Engenharia de Dados
27,Masculino,Branca,Não,,ES,Sudeste,Pós-graduação,Outras Engenharias,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,,,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Gestor
28,Masculino,Branca,Não,,ES,Sudeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Indústria,Analista de Dados/Data Analyst,Júnior,Modelo 100% presencial,Análise de Dados
27,Masculino,Branca,Não,,SC,Sul,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Finanças ou Bancos,Analista de Dados/Data Analyst,Sênior,Modelo 100% remoto,Análise de Dados
28,Masculino,Branca,Não,,SC,Sul,Estudante de Graduação,Outras Engenharias,Estagiário,Área de Consultoria,Cientista de Dados/Data Scientist,Júnior,Modelo 100% remoto,Ciência de Dados
29,Masculino,Branca,Não,,RJ,Sudeste,Estudante de Graduação,Outra opção,Empregado (CLT),Agronegócios,Outra Opção,Sênior,Modelo 100% remoto,Análise de Dados
28,Masculino,Branca,Não,,PR,Sul,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Varejo,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Pleno,Modelo híbrido com dias fixos de trabalho presencial,Outra atuação
21,Masculino,Branca,Não,,GO,Centro-oeste,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Somente Estudante (graduação),,,,,Buscando oportunidade na área de dados
49,Masculino,Branca,Não,,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Internet/Ecommerce,,,Modelo 100% remoto,Gestor
33,Feminino,Parda,Não,,PE,Nordeste,Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Servidor Público,Setor Público,Analista de Dados/Data Analyst,Pleno,Modelo 100% presencial,Análise de Dados
23,Masculino,Parda,Não,,RJ,Sudeste,Estudante de Graduação,Química / Física,Empregado (CLT),Tecnologia/Fábrica de Software,Analista de Dados/Data Analyst,Pleno,Modelo 100% remoto,Análise de Dados
27,Masculino,Parda,Não,,GO,Centro-oeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Área de Consultoria,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,Modelo 100% remoto,Engenharia de Dados
37,Feminino,Branca,Sim,1.0,SP,Sudeste,Graduação/Bacharelado,Outra opção,"Desempregado, buscando recolocação",,,,,Buscando oportunidade na área de dados
34,Masculino,Amarela,Não,,SP,Sudeste,Graduação/Bacharelado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Empregado (CLT),Área da Saúde,Analista de Dados/Data Analyst,Sênior,Modelo híbrido com dias fixos de trabalho presencial,Análise de Dados
24,Masculino,Branca,Não,,SP,Sudeste,Graduação/Bacharelado,Outra opção,Empreendedor ou Empregado (CNPJ),Outra Opção,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),Júnior,Modelo híbrido com dias fixos de trabalho presencial,Análise de Dados
24,Feminino,Branca,Não,1.0,SP,Sudeste,Estudante de Graduação,Outras Engenharias,Estagiário,Finanças ou Bancos,Outra Opção,Júnior,Modelo 100% remoto,Ciência de Dados
35,Masculino,Parda,Não,,SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Seguros ou Previdência,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,Modelo híbrido com dias fixos de trabalho presencial,Engenharia de Dados
26,Masculino,Parda,Não,,CE,Nordeste,Pós-graduação,Outras Engenharias,Empregado (CLT),Setor de Energia,Analytics Engineer,Pleno,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Ciência de Dados
25,Masculino,Branca,Não,,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Internet/Ecommerce,Analytics Engineer,Pleno,Modelo 100% remoto,Análise de Dados
28,Masculino,Branca,Não,,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Setor Imobiliário/ Construção Civil,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Engenharia de Dados
19,Masculino,Branca,Não,,SP,Sudeste,Graduação/Bacharelado,Outra opção,Empregado (CLT),Filantropia/ONG's,Analista de BI/BI Analyst,Júnior,Modelo 100% presencial,Análise de Dados
