Idade,Genero,Cor/raca/etnia,PCD,Oportunidade de Progressão de Carreira,UF,Regiao onde mora,Nivel de Ensino,Area de Formação,Situação atual de Trabalho,Setor,Cargo,Nivel,Forma de Trabalho,Atuação
49,0,3,0,1,18,2,4,3,0,3,6,2,2,3
25,1,3,0,0,24,2,2,0,7,2,0,1,2,1
38,1,0,0,1,24,2,2,0,0,14,3,1,1,3
26,1,0,0,0,14,1,2,0,0,5,6,1,2,2
30,0,2,0,0,24,2,2,7,0,3,10,2,0,1
23,1,0,0,0,7,2,1,0,0,19,3,0,0,3
31,0,1,0,0,18,2,2,0,0,14,3,0,1,3
27,1,3,0,1,24,2,3,0,0,5,14,2,2,2
26,0,3,0,1,24,2,2,1,0,3,1,1,2,2
24,0,3,0,0,8,4,2,0,0,19,10,0,1,0
41,1,0,0,0,6,4,4,2,6,19,8,2,1,1
35,1,0,0,1,18,2,2,2,0,9,10,2,2,2
27,1,1,0,0,4,1,1,0,0,6,7,0,2,1
30,0,3,0,0,15,3,4,1,0,2,0,2,2,1
36,1,0,0,1,6,4,2,3,2,18,0,0,2,1
30,0,1,0,1,12,2,1,0,2,3,16,0,0,0
27,1,0,0,0,15,3,2,0,0,10,12,2,2,3
28,1,1,0,1,18,2,3,0,0,10,0,1,0,1
30,1,1,0,1,23,3,3,0,0,5,3,2,2,1
29,1,1,0,1,18,2,4,7,0,19,10,2,2,0
25,1,0,0,1,24,2,4,8,0,5,1,0,2,2
26,0,3,0,0,13,0,2,2,0,7,10,1,2,0
39,1,0,0,0,12,2,5,8,0,7,10,1,2,0
29,1,3,0,0,15,3,3,7,0,19,10,1,0,0
31,1,4,1,1,15,3,2,0,0,7,10,0,2,0
28,1,0,0,1,24,2,2,0,0,3,10,1,2,0
30,1,0,0,0,15,3,5,0,0,14,3,2,2,1
44,1,0,0,0,12,2,2,5,6,19,3,2,1,3
40,1,3,0,0,16,1,3,1,0,5,3,0,2,1
25,1,0,0,0,8,4,4,6,6,19,1,0,1,1
23,1,0,0,1,24,2,2,0,2,14,1,0,0,1
31,1,0,0,0,24,2,3,7,0,3,0,2,2,1
27,1,0,0,0,12,2,2,7,0,19,1,1,0,1
29,1,0,0,0,18,2,2,4,2,6,1,0,2,1
41,1,3,0,1,24,2,3,1,0,14,1,1,2,1
44,0,3,0,1,17,1,2,3,6,19,3,0,1,1
35,1,3,0,1,18,2,4,0,0,2,14,2,2,3
19,1,0,0,1,23,3,1,1,2,3,0,0,0,1
