('P1_a ', 'Idade');('P1_a_1 ', 'Faixa idade');('P1_b ', 'Genero');('P1_c ', 'Cor/raca/etnia');('P1_f ', 'aspectos_prejudicados');;;;('P1_f_4', 'Oportunidades de progressão de carreira');('P1_f_5', 'Velocidade de progressão de carreira');('P1_i ', 'Estado onde mora');('P1_i_1 ', 'uf onde mora');('P1_i_2 ', 'Regiao onde mora');('P2_a ', 'Qual sua situação atual de trabalho?');('P2_b ', 'Setor');('P2_f ', 'Cargo Atual');('P2_l ', 'Qual o principal motivo da sua insatisfação com a empresa atual?');('P2_l_1 ', 'Falta de oportunidade de crescimento no emprego atual');('P2_r ', 'Atualmente qual a sua forma de trabalho?');('P4_a_1 ', 'Atuacao')
37;35-39;Feminino;Branca;Quantidade de oportunidades de emprego/vagas recebidas, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho;;;;0;0;Rio Grande do Sul (RS);RS;Sul;Empregado (CLT);Indústria;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Engenharia de Dados
33;30-34;Masculino;Branca;;;;;;;Paraná (PR);PR;Sul;Empreendedor ou Empregado (CNPJ);Indústria;Analista de BI/BI Analyst;Falta de maturidade analítica na empresa;0;Modelo 100% presencial;Análise de Dados
25;25-29;Masculino;Branca;;;;;;;Piauí (PI);PI;Nordeste;Desempregado, buscando recolocação;;;;;;Buscando oportunidade na área de dados
30;30-34;Masculino;Branca;;;;;;;Rio Grande do Sul (RS);RS;Sul;Empregado (CLT);Finanças ou Bancos;;Falta de maturidade analítica na empresa;0;Modelo 100% remoto;Gestor
43;40-44;Masculino;Parda;;;;;;;Paraná (PR);PR;Sul;Empregado (CLT);Área de Consultoria;Analista de Suporte/Analista Técnico;Falta de oportunidade de crescimento no emprego atual;1;Modelo 100% presencial;Outra atuação
29;25-29;Feminino;Branca;Atenção dada pelas pessoas diante das minhas opiniões e ideias, Senioridade das vagas recebidas em relação à sua experiência;;;;0;0;São Paulo (SP);SP;Sudeste;Empregado (CLT);Outra Opção;;;;Modelo híbrido com dias fixos de trabalho presencial;Gestor
30;30-34;Feminino;Parda;Aprovação em processos seletivos/entrevistas, Oportunidades de progressão de carreira;;;;1;0;São Paulo (SP);SP;Sudeste;Empregado (CLT);Indústria;Cientista de Dados/Data Scientist;Falta de maturidade analítica na empresa, Não tenho uma boa relação com meu líder/gestor;0;Modelo 100% remoto;Ciência de Dados
48;45-49;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Setor Automotivo;Analista de Suporte/Analista Técnico;;;Modelo 100% presencial;Análise de Dados
29;25-29;Masculino;Branca;;;;;;;Distrito Federal (DF);DF;Centro-oeste;Empregado (CLT);Tecnologia/Fábrica de Software;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo 100% remoto;Engenharia de Dados
27;25-29;Masculino;Branca;;;;;;;Espírito Santo (ES);ES;Sudeste;Empreendedor ou Empregado (CNPJ);Tecnologia/Fábrica de Software;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Gestor
